game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,average_rating,users_rated
145381,4,30,10,2,30,The Outcast Heroes,30,2013,6.65172,87
145424,4,45,10,2,45,Café Melange,45,2013,6.67691,149
145478,6,0,10,3,0,HeartSwitch,0,2013,6.41489,88
145588,5,60,10,2,60,Citrus,60,2013,7.05616,600
145943,2,45,10,2,45,A Duel Betwixt Us,45,2014,5.51269,145
146094,6,45,10,2,30,Plunder,45,2013,5.99952,104
146188,4,45,10,2,45,Mauna Kea,45,2013,5.62267,157
146579,4,45,10,2,45,Quilt Show,45,2014,6.52129,361
146735,6,90,10,3,60,Munchkin Adventure Time,90,2014,6.61522,898
147030,5,30,10,2,30,World of Tanks: Rush,30,2013,5.9256,459
147151,12,40,10,4,40,Concept,40,2013,6.98477,8032
147168,6,20,10,2,20,Guerra De Mitos II,20,2013,8.03279,61
147171,2,180,10,2,90,Soccer City,180,2013,7.54955,110
147240,4,90,10,3,60,Catan: Family Edition,90,2012,6.65977,215
147505,5,60,10,2,60,Lords & Ladies,60,2014,6.60658,152
147624,5,90,10,2,90,Mount Everest,90,2013,6.48425,280
147883,4,10,10,2,10,Lost Legacy: Hyakunen Senso to Ryu no Miko,10,2013,7.29028,108
147887,4,60,10,2,30,Allegiance: A Realm Divided,60,2015,8.21818,198
147930,2,30,10,2,30,King & Assassins,30,2013,7.0512,575
148036,2,0,10,2,0,Risk: Plants vs. Zombies,0,2013,6.0835,188
148083,4,60,10,2,60,Dogs,60,2013,7.56842,114
148099,5,45,10,2,45,Worker Placement,45,2014,5.91406,53
148138,6,30,10,3,30,Mat Goceng,30,2013,6.61667,51
148144,5,90,10,3,90,Dreaming Spires,90,2014,6.49574,169
148228,4,30,10,2,30,Splendor,30,2014,7.54035,29395
148231,4,40,10,2,20,Corto,40,2013,6.69436,220
148271,2,60,10,2,60,Metallum,60,2013,7.26869,289
148282,6,45,10,2,30,Black Hat,45,2015,6.38746,118
148517,4,45,10,2,45,S-Evolution,45,2013,5.44768,151
148740,6,45,10,2,45,Scotland Yard Master,45,2013,6.56164,73
148940,4,45,10,2,30,Kings Under Mountains,45,2013,5.69841,63
148949,5,60,10,2,40,Istanbul,60,2014,7.63302,12216
149241,4,150,10,1,150,Assault on Doomrock,150,2014,7.24061,631
149296,5,0,10,2,0,Risk: The Dalek Invasion of Earth,0,2014,6.3271,107
149746,2,20,10,2,20,My Little Pony: Collectible Card Game,20,2013,6.19056,213
149787,6,180,10,1,30,Perdition's Mouth: Abyssal Rift,180,2016,7.83207,145
149809,4,15,10,2,15,Escape: Zombie City,15,2014,7.01722,666
150049,5,90,10,2,90,Risk: Mass Effect Galaxy at War Edition,90,2013,6.665,60
150312,4,30,10,2,30,Welcome to the Dungeon,30,2013,6.76881,5624
150605,4,10,10,2,10,Candy Chaser,10,2013,5.89911,168
150926,4,60,10,1,40,Roll Through the Ages: The Iron Age,60,2014,6.76026,722
151247,5,30,10,2,30,Greed,30,2014,6.80675,1389
151275,4,60,10,2,45,Ophir,60,2015,6.94393,214
151410,4,60,10,2,60,Cross Hares: Testing Ground,60,2014,6.13547,117
151446,5,30,10,2,30,La Fallera Calavera: el joc de cartes valencià,30,2014,7.48608,79
